log_id,fuel_level_pct,fuel_available_l,engine_load_pct,temperature_c,ground_condition,task_type,task_duration_est_min,consumption_l_per_hour,fuel_needed_l,fuel_after_task_l,fuel_after_task_pct,range_km,distance_to_station_km,can_complete_task,can_reach_station,risk_level
1,78.5,321.9,65.5,39.3,Dry,Compaction,46.4,20.61,15.9,306.0,74.6,132.8,48.79,1,1,LOW
2,79.7,326.8,47.4,23.0,Muddy,Material Loading,279.5,23.05,107.4,219.4,53.5,120.5,32.37,1,1,LOW
3,47.1,193.1,53.2,27.2,Frozen,Earth Excavation,251.7,25.42,106.6,86.5,21.1,64.6,31.77,1,1,LOW
4,38.7,158.7,96.3,40.7,Muddy,Compaction,74.5,28.49,35.4,123.3,30.1,47.3,23.6,1,1,LOW
5,19.7,80.8,79.6,34.8,Wet,Demolition,111.2,32.22,59.7,21.1,5.1,21.3,18.84,0,1,HIGH
6,23.0,94.3,47.5,24.0,Wet,Trenching,207.5,25.2,87.2,7.1,1.7,31.8,22.14,0,1,HIGH
7,84.1,344.8,86.7,20.5,Frozen,Trenching,211.1,31.8,111.9,232.9,56.8,92.2,7.42,1,1,LOW
8,5.7,23.4,85.6,31.6,Wet,Compaction,238.6,23.3,92.7,0.0,0.0,8.5,23.22,0,0,CRITICAL
9,18.3,75.0,46.6,31.7,Muddy,Material Loading,178.3,22.47,66.8,8.2,2.0,28.4,38.37,0,0,CRITICAL
10,57.6,236.2,72.4,17.2,Muddy,Earth Excavation,142.3,29.55,70.1,166.1,40.5,67.9,11.12,1,1,LOW
11,86.1,353.0,53.6,7.3,Frozen,Trenching,102.2,26.51,45.2,307.8,75.1,113.2,33.26,1,1,LOW
12,79.5,325.9,78.5,21.3,Wet,Compaction,66.8,22.66,25.2,300.7,73.3,122.2,1.62,1,1,LOW
13,73.6,301.8,66.8,11.5,Frozen,Grading,62.6,25.21,26.3,275.5,67.2,101.8,34.97,1,1,LOW
14,41.2,168.9,57.5,30.2,Muddy,Material Loading,44.5,23.25,17.2,151.7,37.0,61.7,6.34,1,1,LOW
15,91.3,374.3,80.6,15.6,Frozen,Demolition,238.1,32.78,130.1,244.2,59.6,97.1,35.99,1,1,LOW
16,30.9,126.7,45.6,41.1,Dry,Material Loading,76.7,19.91,25.5,101.2,24.7,54.1,15.64,1,1,LOW
17,21.8,89.4,89.7,35.3,Wet,Compaction,141.0,24.92,58.6,30.8,7.5,30.5,31.55,0,0,CRITICAL
18,66.7,273.5,44.9,21.6,Frozen,Earth Excavation,158.3,24.55,64.8,208.7,50.9,94.7,16.83,1,1,LOW
19,14.8,60.7,74.1,11.8,Wet,Demolition,182.7,31.4,95.6,0.0,0.0,16.4,17.67,0,0,CRITICAL
20,7.2,29.5,95.6,24.3,Wet,Compaction,43.2,26.16,18.8,10.7,2.6,9.6,24.59,0,0,CRITICAL
21,94.1,385.8,73.2,23.9,Frozen,Trenching,112.8,29.22,54.9,330.9,80.7,112.2,26.27,1,1,LOW
22,7.1,29.1,87.9,40.8,Muddy,Earth Excavation,175.1,33.11,96.6,0.0,0.0,7.5,5.87,0,1,HIGH
23,31.7,130.0,78.2,34.1,Frozen,Compaction,50.2,23.08,19.3,110.7,27.0,47.9,45.84,1,1,LOW
24,8.6,35.3,72.2,19.8,Wet,Compaction,246.3,22.64,92.9,0.0,0.0,13.3,16.2,0,0,CRITICAL
25,32.6,133.7,69.9,15.2,Frozen,Demolition,66.1,30.97,34.1,99.6,24.3,36.7,2.72,1,1,LOW
