log_id,machine_id,operator_id,timestamp,engine_hours,rpm,hydraulic_pressure,fuel_level,fuel_used_l,idle_time_min,active_time_min,speed_kph,tilt_angle,temperature_c,engine_load_pct,seatbelt,proximity_alert,fault_codes,weather,ground_condition,shift
1,EXC004,OP008,2024-01-01 00:00:00,9542.1,1833,177.7,10.3,1.58,0,20,15.9,7.5,49.8,43.6,fastened,0,NONE,Rainy,Muddy,day
2,EXC002,OP003,2024-01-01 00:30:00,466.3,638,192.5,59.7,17.56,32,58,8.5,13.1,46.4,71.7,fastened,0,NONE,Cloudy,Muddy,day
3,EXC004,OP007,2024-01-01 01:00:00,5929.4,1766,131.2,44.7,15.2,57,87,3.0,17.8,87.5,96.8,fastened,0,NONE,Cloudy,Muddy,day
4,EXC004,OP006,2024-01-01 01:30:00,3260.1,1420,269.6,40.1,12.26,83,85,10.4,20.8,105.4,85.2,fastened,0,NONE,Sunny,Dry,day
5,EXC003,OP001,2024-01-01 02:00:00,6725.0,817,185.6,73.8,11.77,13,98,13.5,9.2,82.2,51.7,unfastened,0,NONE,Cloudy,Frozen,day
6,EXC005,OP008,2024-01-01 02:30:00,2661.0,1192,242.0,89.1,10.59,57,74,15.6,10.8,51.3,52.8,fastened,0,NONE,Sunny,Wet,night
7,EXC005,OP002,2024-01-01 03:00:00,4250.1,673,193.9,23.7,2.15,72,25,6.8,3.4,62.0,58.5,fastened,1,NONE,Windy,Wet,day
8,EXC002,OP005,2024-01-01 03:30:00,6445.8,613,135.7,80.5,6.09,79,106,5.1,7.7,49.3,41.0,fastened,0,NONE,Windy,Dry,day
9,EXC001,OP001,2024-01-01 04:00:00,8927.5,2063,254.1,21.1,6.44,25,102,12.3,21.8,35.6,44.3,fastened,0,NONE,Rainy,Wet,day
10,EXC005,OP003,2024-01-01 04:30:00,11357.0,2168,191.8,59.8,14.39,3,39,4.5,20.6,91.4,81.7,fastened,0,NONE,Windy,Wet,day
11,EXC005,OP010,2024-01-01 05:00:00,2993.2,2087,140.8,85.6,11.09,86,104,4.4,9.1,38.4,71.7,fastened,0,P0562,Rainy,Frozen,night
12,EXC005,OP006,2024-01-01 05:30:00,5846.7,821,305.4,91.1,7.47,78,69,3.3,4.9,81.9,80.4,unfastened,0,NONE,Cloudy,Frozen,day
13,EXC001,OP008,2024-01-01 06:00:00,4248.9,1652,296.5,34.3,6.24,22,52,6.6,12.6,64.3,81.5,fastened,0,NONE,Rainy,Muddy,day
14,EXC004,OP003,2024-01-01 06:30:00,7311.8,1734,260.0,82.8,15.44,12,25,7.9,9.3,35.8,44.3,fastened,0,NONE,Rainy,Dry,day
15,EXC005,OP001,2024-01-01 07:00:00,4461.1,2221,297.2697028800378,88.5,14.25,48,112,13.0,16.6,54.1,94.9,fastened,0,NONE,Cloudy,Wet,night
16,EXC002,OP007,2024-01-01 07:30:00,1253.9,620,237.5,21.4,14.73,65,80,1.9,13.9,36.0,96.2,unfastened,0,NONE,Rainy,Dry,day
17,EXC004,OP003,2024-01-01 08:00:00,7411.3,1088,179.2,41.5,7.42,50,58,7.7,14.5,80.3,42.0,fastened,1,NONE,Windy,Muddy,day
18,EXC003,OP002,2024-01-01 08:30:00,523.2,753,157.8,78.7,8.89,88,93,11.8,8.2,83.4,43.9,fastened,0,P0100,Windy,Frozen,day
19,EXC003,OP005,2024-01-01 09:00:00,612.2,1044,230.3,6.4,10.53,83,95,9.8,13.6,101.6,87.5,unfastened,0,P0217,Windy,Frozen,night
20,EXC004,OP005,2024-01-01 09:30:00,10622.2,1056,262.8,64.4,3.86,37,66,14.2,15.2,52.9,75.3,fastened,0,NONE,Rainy,Muddy,night
21,EXC003,OP002,2024-01-01 10:00:00,10456.3,1980,208.9,44.4,6.84,12,33,16.1,14.3,44.1,97.5,fastened,1,NONE,Rainy,Dry,night
22,EXC004,OP006,2024-01-01 10:30:00,6796.3,1023,297.0,54.2,9.09,18,59,3.8,15.3,68.0,54.3,fastened,0,NONE,Windy,Frozen,day
23,EXC002,OP005,2024-01-01 11:00:00,314.2,2222,185.4,44.7,12.23,59,77,16.4,19.6,95.2,86.1,fastened,0,NONE,Cloudy,Muddy,night
24,EXC002,OP010,2024-01-01 11:30:00,4183.0,1728,182.8,23.6,8.37,66,30,15.9,5.9,106.09924149682713,70.4,fastened,0,P0217,Sunny,Dry,day
25,EXC004,OP001,2024-01-01 12:00:00,4220.6,837,193.6,38.1,3.21,64,23,6.5,3.4,105.5,72.2,fastened,0,P0562,Sunny,Dry,night
26,EXC003,OP005,2024-01-01 12:30:00,8678.6,1604,254.9,86.8,7.94,67,112,14.6,0.8,37.1,52.1,fastened,0,NONE,Cloudy,Frozen,night
27,EXC002,OP008,2024-01-01 13:00:00,9761.7,2335,106.0,63.0,9.8,84,74,9.3,15.4,87.5,75.2,fastened,0,NONE,Sunny,Dry,day
28,EXC005,OP005,2024-01-01 13:30:00,4315.5,2061,177.8,50.3,11.89,26,76,14.6,7.4,83.0,63.8,fastened,0,NONE,Windy,Frozen,night
29,EXC002,OP003,2024-01-01 14:00:00,5118.7,2051,263.4,72.1,15.44,55,58,13.5,11.1,49.5,52.8,fastened,0,NONE,Sunny,Dry,night
30,EXC003,OP010,2024-01-01 14:30:00,2773.5,601,222.0,22.5,4.57,75,99,17.3,1.6,46.6,88.5,fastened,0,NONE,Sunny,Dry,night
31,EXC002,OP004,2024-01-01 15:00:00,8762.2,2043,168.2,12.9,10.3,84,50,4.0,20.4,60.6,52.4,fastened,0,NONE,Cloudy,Dry,day
32,EXC003,OP010,2024-01-01 15:30:00,4254.9,1141,301.11152916168504,57.1,7.8,14,12,13.2,12.9,55.8,57.4,fastened,0,NONE,Cloudy,Wet,night
33,EXC003,OP009,2024-01-01 16:00:00,8495.2,732,298.2,6.1,12.52,81,94,0.3,2.7,56.8,45.0,fastened,0,P0562,Rainy,Frozen,day
34,EXC002,OP007,2024-01-01 16:30:00,8512.1,609,211.1,19.1,15.8,3,37,16.6,8.9,102.2524934259468,79.2,fastened,0,NONE,Windy,Wet,day
35,EXC004,OP008,2024-01-01 17:00:00,1958.9,708,262.6,73.1,8.85,49,93,3.6,6.9,37.2,56.5,fastened,1,P0562,Rainy,Wet,day
36,EXC001,OP006,2024-01-01 17:30:00,10637.2,833,310.57361688579624,90.7,15.27,79,63,6.7,19.1,89.9,95.6,fastened,1,NONE,Windy,Frozen,day
37,EXC004,OP007,2024-01-01 18:00:00,9911.8,717,204.1,32.1,0.54,10,49,15.2,19.3,70.0,83.0,fastened,0,NONE,Rainy,Muddy,day
38,EXC001,OP003,2024-01-01 18:30:00,7037.8,1185,292.03836365962263,41.3,16.46,22,68,8.6,17.4,43.9,92.3,fastened,0,NONE,Sunny,Muddy,day
39,EXC002,OP001,2024-01-01 19:00:00,1127.3,1434,318.4,69.7,14.3,14,58,11.9,8.5,83.6,51.4,unfastened,0,NONE,Sunny,Muddy,day
40,EXC003,OP007,2024-01-01 19:30:00,2090.3,2275,148.1,81.5,2.84,4,54,6.5,20.7,59.9,77.1,fastened,1,NONE,Cloudy,Muddy,day
41,EXC003,OP009,2024-01-01 20:00:00,1196.9,1929,308.4,29.7,12.32,27,39,10.0,6.1,40.6,91.0,unfastened,0,NONE,Cloudy,Dry,day
42,EXC004,OP009,2024-01-01 20:30:00,5617.0,1688,189.9,83.5,9.5,9,47,15.2,14.6,77.0,95.8,fastened,0,NONE,Cloudy,Frozen,day
43,EXC005,OP008,2024-01-01 21:00:00,3259.6,1778,209.6,97.4,17.49,34,46,16.1,11.5,55.6,77.7,fastened,0,NONE,Sunny,Muddy,night
44,EXC004,OP010,2024-01-01 21:30:00,9986.5,1053,215.3,13.4,5.83,27,59,8.2,9.6,52.7,95.0,fastened,0,NONE,Sunny,Wet,day
45,EXC003,OP006,2024-01-01 22:00:00,5287.9,639,153.2,26.3,11.16,46,116,13.0,4.1,68.2,48.6,fastened,0,NONE,Cloudy,Muddy,day
46,EXC001,OP002,2024-01-01 22:30:00,5480.0,702,152.6,74.0,9.65,76,50,8.4,5.3,71.6,42.4,fastened,0,NONE,Cloudy,Dry,day
47,EXC005,OP003,2024-01-01 23:00:00,11070.9,1051,182.7,8.5,4.37,12,78,16.9,18.1,103.6281324749451,67.0,fastened,0,NONE,Rainy,Frozen,day
48,EXC002,OP003,2024-01-01 23:30:00,6975.5,1025,263.9,32.0,14.74,76,14,13.1,14.7,69.4,58.4,fastened,1,NONE,Sunny,Wet,night
49,EXC004,OP010,2024-01-02 00:00:00,4709.4,1704,254.2,85.2,13.5,48,10,7.8,20.5,72.7,93.7,fastened,1,P0217,Rainy,Dry,night
50,EXC005,OP009,2024-01-02 00:30:00,11803.1,2129,319.5,69.8,10.02,89,86,9.0,15.0,75.6,40.9,unfastened,0,P0100,Windy,Frozen,day
51,EXC004,OP008,2024-01-02 01:00:00,5603.0,618,119.4,65.9,17.02,84,83,3.3,1.3,104.2,58.4,fastened,0,P0562,Cloudy,Wet,day
52,EXC001,OP009,2024-01-02 01:30:00,6998.2,1671,267.0,63.1,16.72,8,94,16.9,2.6,38.1,60.3,fastened,0,NONE,Rainy,Muddy,day
