task_id,machine_id,operator_id,task_type,task_complexity,material_type,quantity_m3,target_depth_m,haul_distance_m,weather,temperature_c,rainfall_mm,wind_speed_kmh,ground_condition,operator_skill,operator_experience_yrs,previous_similar_tasks,previous_avg_completion_min,machine_age_yrs,engine_hours,bucket_capacity_m3,avg_engine_load_pct,machine_efficiency_pct,estimated_time_min,actual_completion_time_min,completed,date
1,EXC005,OP001,Earth Excavation,High,Gravel,183.4,1.0,97.7,Cloudy,33.2,0.0,11.8,Wet,Expert,2.4,278,68.7,7.0,4575.0,0.8,79.0,92.2,207.2,204.2,1,2024-04-11 00:00:00
2,EXC003,OP004,Grading,Low,Sand,226.5,4.8,23.5,Rainy,22.3,2.2,2.3,Wet,Beginner,10.4,22,59.0,11.3,11617.0,2.0,64.7,77.2,76.1,82.8,1,2024-03-23 00:00:00
3,EXC003,OP006,Demolition,Medium,Soil,98.7,5.1,81.5,Windy,19.3,0.0,24.4,Muddy,Expert,10.4,2,98.3,2.5,2559.0,2.0,85.4,86.9,90.2,94.0,1,2024-03-30 00:00:00
4,EXC001,OP002,Earth Excavation,Medium,Sand,198.3,4.0,57.6,Rainy,25.7,15.2,0.5,Wet,Expert,6.8,246,69.0,3.6,5021.0,1.2,88.4,72.7,136.7,131.2,1,2024-07-22 00:00:00
5,EXC005,OP001,Demolition,Medium,Rock,66.7,0.6,13.6,Cloudy,31.7,0.0,6.9,Wet,Expert,2.8,208,106.6,7.8,1997.0,1.2,70.1,77.6,99.9,113.4,1,2024-05-03 00:00:00
6,EXC003,OP005,Demolition,Medium,Mixed,243.2,4.8,73.1,Cloudy,21.6,0.0,4.1,Muddy,Intermediate,1.9,242,105.2,13.6,5578.0,1.0,59.1,75.1,300.6,300.0,1,2024-09-19 00:00:00
7,EXC003,OP005,Trenching,Medium,Soil,48.6,2.8,9.0,Rainy,23.3,16.5,2.2,Dry,Intermediate,2.0,277,85.1,9.0,2213.0,1.0,76.1,76.4,76.7,88.5,1,2024-01-24 00:00:00
8,EXC001,OP010,Earth Excavation,Low,Rock,155.8,3.1,30.4,Rainy,17.3,26.0,6.6,Wet,Intermediate,0.8,94,61.1,12.5,10775.0,2.0,56.3,83.3,133.8,119.7,1,2024-10-07 00:00:00
9,EXC001,OP009,Grading,High,Mixed,152.1,2.5,83.8,Sunny,34.9,0.0,4.8,Dry,Beginner,14.3,76,46.4,4.7,6278.0,2.0,92.1,70.4,60.4,70.6,1,2024-11-04 00:00:00
10,EXC001,OP003,Demolition,Low,Mixed,199.8,4.1,40.5,Sunny,8.5,0.0,11.2,Muddy,Intermediate,4.3,267,106.9,14.1,3043.0,1.0,55.5,92.4,287.7,296.6,1,2024-04-23 00:00:00
11,EXC001,OP005,Trenching,High,Rock,33.1,1.8,17.5,Rainy,30.1,6.1,7.6,Wet,Beginner,10.6,241,80.2,8.9,2557.0,2.0,82.2,89.4,57.5,60.1,1,2024-04-24 00:00:00
12,EXC004,OP003,Demolition,Medium,Clay,152.1,4.0,15.1,Windy,10.2,0.0,31.0,Frozen,Intermediate,14.5,190,112.5,9.1,11210.0,0.8,86.2,80.4,294.2,300.0,1,2024-10-17 00:00:00
13,EXC001,OP009,Material Loading,Medium,Sand,162.7,2.8,40.5,Rainy,20.8,32.6,13.0,Frozen,Expert,7.1,223,25.6,4.1,2993.0,2.0,86.7,68.5,40.0,37.3,1,2024-12-03 00:00:00
14,EXC005,OP003,Earth Excavation,High,Mixed,63.8,1.1,7.0,Rainy,7.0,8.7,0.8,Dry,Beginner,9.1,220,59.2,10.4,4845.0,1.0,64.3,81.6,112.8,113.6,1,2024-04-01 00:00:00
15,EXC005,OP006,Demolition,Medium,Clay,145.2,1.1,84.2,Sunny,6.9,0.0,13.9,Dry,Intermediate,1.9,293,110.4,12.7,10851.0,1.0,86.1,90.7,241.1,241.9,1,2024-12-18 00:00:00
16,EXC002,OP008,Demolition,High,Rock,88.6,1.3,50.4,Windy,20.4,0.0,21.6,Wet,Expert,5.8,70,120.4,5.8,4064.0,1.5,67.1,87.6,168.4,154.5,1,2024-04-29 00:00:00
17,EXC001,OP009,Demolition,High,Rock,147.2,4.0,32.4,Rainy,32.2,10.1,10.4,Dry,Expert,13.0,28,97.4,2.4,7450.0,1.5,82.7,67.8,191.9,201.3,1,2024-06-11 00:00:00
18,EXC003,OP008,Compaction,High,Sand,159.8,1.0,63.5,Windy,11.3,0.0,38.2,Frozen,Beginner,8.8,155,28.5,7.3,6367.0,1.0,84.4,91.4,150.3,145.6,1,2024-02-12 00:00:00
19,EXC005,OP010,Material Loading,Medium,Sand,177.7,2.3,90.3,Cloudy,33.2,0.0,4.1,Frozen,Expert,5.8,44,34.0,5.1,2060.0,2.0,92.1,79.5,37.9,43.8,1,2024-08-11 00:00:00
20,EXC003,OP008,Material Loading,Low,Rock,239.3,1.2,85.8,Rainy,28.6,6.1,8.8,Frozen,Beginner,10.4,290,28.6,0.7,5561.0,1.5,87.1,74.7,99.3,95.1,1,2024-10-12 00:00:00
21,EXC005,OP001,Material Loading,High,Soil,214.1,1.1,99.9,Windy,29.6,0.0,42.5,Muddy,Beginner,1.8,72,41.6,13.5,542.0,1.0,56.4,90.6,230.8,226.6,0,2024-02-27 00:00:00
22,EXC003,OP005,Earth Excavation,High,Gravel,216.9,0.8,81.1,Windy,39.3,0.0,48.6,Frozen,Expert,10.6,209,75.8,12.7,674.0,1.0,59.1,69.1,210.7,217.4,1,2024-02-26 00:00:00
23,EXC005,OP006,Earth Excavation,Low,Soil,245.6,3.9,10.2,Cloudy,27.8,0.0,0.6,Dry,Expert,13.3,27,59.8,10.8,2243.0,1.0,58.3,97.3,90.5,92.0,1,2024-03-31 00:00:00
24,EXC003,OP002,Demolition,Medium,Clay,172.8,5.7,19.1,Cloudy,23.8,0.0,6.1,Muddy,Intermediate,7.4,184,112.7,2.2,1782.0,1.5,62.5,75.1,207.2,204.7,1,2024-05-29 00:00:00
25,EXC005,OP006,Demolition,Medium,Gravel,122.0,3.1,26.4,Cloudy,26.2,0.0,8.5,Frozen,Beginner,10.7,94,100.9,9.9,7899.0,1.5,85.4,83.1,191.0,170.2,1,2024-07-22 00:00:00
26,EXC001,OP005,Demolition,Low,Mixed,206.0,2.2,84.6,Windy,23.3,0.0,15.8,Muddy,Expert,1.5,146,117.5,12.7,856.0,1.2,62.6,76.0,266.5,269.2,1,2024-10-28 00:00:00
27,EXC004,OP002,Material Loading,Medium,Sand,56.3,2.5,96.1,Sunny,41.8,0.0,11.6,Dry,Intermediate,5.0,116,41.3,10.5,8524.0,1.5,78.8,65.4,35.7,30.4,1,2024-12-01 00:00:00
28,EXC001,OP010,Demolition,High,Gravel,61.2,3.0,42.3,Sunny,8.0,0.0,11.3,Frozen,Expert,6.8,282,97.5,7.3,1978.0,2.0,58.1,94.9,60.4,64.7,1,2024-08-02 00:00:00
29,EXC002,OP006,Earth Excavation,Low,Clay,170.3,4.1,68.7,Sunny,33.2,0.0,0.9,Frozen,Expert,5.8,253,81.3,8.3,4194.0,2.0,71.7,90.4,59.8,62.3,1,2024-05-20 00:00:00
30,EXC003,OP006,Material Loading,Medium,Rock,117.7,5.5,64.9,Windy,11.6,0.0,26.9,Muddy,Intermediate,3.3,42,34.5,0.9,11144.0,0.8,70.2,75.1,155.9,163.1,1,2024-08-19 00:00:00
31,EXC005,OP008,Compaction,Medium,Mixed,228.7,4.5,96.5,Cloudy,33.9,0.0,13.0,Frozen,Expert,2.2,165,35.2,11.1,5393.0,1.5,79.4,97.0,115.5,100.9,1,2024-01-02 00:00:00
32,EXC002,OP008,Earth Excavation,Low,Soil,246.8,3.1,97.9,Rainy,20.2,39.7,1.3,Frozen,Expert,8.6,16,69.3,12.1,11111.0,1.2,87.0,66.2,197.5,195.6,1,2024-09-17 00:00:00
33,EXC005,OP003,Earth Excavation,High,Sand,40.8,1.8,64.1,Rainy,36.8,0.2,7.7,Wet,Expert,10.3,268,45.7,0.9,4936.0,1.5,80.2,72.8,62.7,42.3,1,2024-06-12 00:00:00
34,EXC003,OP004,Material Loading,Low,Clay,48.7,2.4,73.2,Rainy,34.9,49.9,4.4,Frozen,Expert,6.4,220,36.3,2.5,6983.0,0.8,94.9,88.1,63.7,48.9,1,2024-02-19 00:00:00
35,EXC002,OP006,Earth Excavation,Low,Rock,129.7,4.0,37.6,Sunny,20.6,0.0,14.4,Muddy,Beginner,11.4,269,68.9,8.3,3558.0,1.0,60.6,75.7,146.3,166.8,1,2024-01-10 00:00:00
36,EXC005,OP004,Trenching,High,Clay,222.3,2.1,58.3,Cloudy,34.3,0.0,11.8,Wet,Beginner,6.9,201,76.5,7.4,11937.0,0.8,80.4,91.9,306.3,300.0,1,2024-02-07 00:00:00
37,EXC005,OP004,Trenching,High,Sand,37.9,5.8,14.8,Rainy,6.5,12.3,1.0,Frozen,Intermediate,7.1,15,88.4,8.0,3888.0,0.8,55.0,77.7,144.5,151.8,1,2024-03-25 00:00:00
38,EXC003,OP003,Material Loading,Low,Soil,30.3,3.3,51.5,Cloudy,17.3,0.0,6.5,Dry,Intermediate,11.8,274,27.6,12.7,3272.0,2.0,64.5,73.0,16.5,14.2,0,2024-12-05 00:00:00
39,EXC003,OP002,Material Loading,Medium,Mixed,40.4,1.3,92.3,Rainy,5.3,9.4,0.5,Dry,Beginner,2.1,170,35.8,9.5,3051.0,0.8,76.6,93.0,85.0,70.6,1,2024-12-29 00:00:00
40,EXC001,OP008,Demolition,Low,Clay,162.8,5.9,39.3,Sunny,35.1,0.0,4.8,Frozen,Intermediate,12.1,246,112.7,9.2,2753.0,1.2,68.6,75.5,187.5,186.8,1,2024-03-01 00:00:00
41,EXC003,OP006,Demolition,High,Clay,225.8,3.8,17.0,Rainy,10.3,34.7,2.6,Frozen,Beginner,7.9,4,110.1,14.9,247.0,2.0,94.7,84.3,300.4,300.0,1,2024-03-07 00:00:00
42,EXC004,OP008,Trenching,High,Soil,176.0,5.1,6.7,Cloudy,27.0,0.0,3.5,Muddy,Beginner,13.2,225,90.3,4.2,7407.0,1.0,74.9,78.1,244.8,245.9,1,2024-12-24 00:00:00
43,EXC005,OP008,Demolition,Medium,Mixed,144.5,2.7,13.9,Sunny,37.9,0.0,5.9,Dry,Expert,10.4,53,112.5,2.7,11546.0,1.0,59.0,93.3,111.3,128.2,1,2024-08-23 00:00:00
44,EXC005,OP007,Material Loading,Medium,Gravel,202.3,3.6,14.9,Sunny,38.4,0.0,13.0,Muddy,Intermediate,12.1,63,35.3,1.9,2612.0,1.5,83.5,65.8,60.7,61.4,1,2024-05-24 00:00:00
45,EXC002,OP003,Material Loading,Medium,Gravel,162.4,5.6,49.4,Rainy,12.3,18.9,5.9,Wet,Intermediate,2.4,101,23.5,2.9,8278.0,0.8,93.0,73.0,162.0,161.3,1,2024-12-22 00:00:00
46,EXC005,OP006,Trenching,Medium,Gravel,39.9,3.1,96.1,Sunny,29.1,0.0,7.4,Wet,Intermediate,2.1,231,87.6,4.2,3678.0,1.0,84.4,93.9,72.6,82.0,1,2024-01-27 00:00:00
47,EXC004,OP010,Demolition,Low,Clay,216.1,3.9,56.5,Rainy,11.1,12.7,2.4,Wet,Beginner,12.9,88,110.8,9.0,8875.0,1.5,66.7,78.4,283.5,270.8,1,2024-03-26 00:00:00
48,EXC002,OP001,Demolition,High,Soil,69.5,2.8,47.7,Cloudy,14.1,0.0,10.7,Wet,Beginner,12.8,99,107.5,13.2,4204.0,2.0,73.9,73.2,107.2,106.2,1,2024-10-10 00:00:00
49,EXC001,OP005,Trenching,Medium,Rock,125.6,1.2,16.9,Rainy,40.2,24.1,14.3,Wet,Intermediate,2.9,75,81.7,8.5,2651.0,0.8,51.4,68.9,303.9,300.0,1,2024-07-11 00:00:00
50,EXC004,OP003,Grading,Medium,Clay,193.2,3.1,19.5,Windy,39.1,0.0,27.1,Frozen,Beginner,1.2,191,62.9,5.5,9575.0,2.0,78.0,89.8,88.0,96.0,0,2024-08-21 00:00:00
51,EXC003,OP002,Grading,High,Clay,130.8,1.2,19.5,Cloudy,28.4,0.0,5.9,Frozen,Beginner,13.9,138,53.6,5.1,8769.0,1.5,79.7,84.8,69.1,81.3,1,2024-12-25 00:00:00
52,EXC004,OP002,Demolition,Medium,Soil,194.9,6.0,55.5,Windy,29.4,0.0,25.1,Wet,Beginner,14.2,44,111.0,5.8,8914.0,2.0,68.1,83.5,180.7,174.1,1,2024-08-24 00:00:00
53,EXC002,OP003,Compaction,Medium,Rock,50.2,4.2,67.3,Cloudy,29.5,0.0,0.3,Wet,Beginner,5.2,258,45.4,3.4,9382.0,2.0,61.1,87.0,37.7,40.4,1,2024-11-29 00:00:00
54,EXC005,OP009,Demolition,High,Clay,239.6,3.9,29.2,Windy,28.1,0.0,26.0,Muddy,Intermediate,14.7,210,117.9,6.3,8288.0,1.5,51.0,78.2,270.6,264.2,1,2024-11-07 00:00:00
55,EXC002,OP003,Demolition,Medium,Sand,103.5,1.8,91.7,Cloudy,39.2,0.0,12.6,Wet,Intermediate,14.7,228,121.8,11.3,9223.0,1.0,71.6,80.1,153.1,149.8,1,2024-05-12 00:00:00
56,EXC001,OP003,Material Loading,Low,Clay,66.9,0.5,36.9,Rainy,34.5,42.0,2.1,Frozen,Beginner,11.7,283,45.6,2.2,4803.0,2.0,94.9,71.4,30.5,35.2,1,2024-12-23 00:00:00
57,EXC001,OP010,Demolition,Low,Gravel,224.7,4.1,15.6,Windy,35.8,0.0,18.8,Dry,Beginner,6.6,205,119.8,8.5,6109.0,1.0,79.4,97.7,274.8,270.8,1,2024-04-18 00:00:00
58,EXC001,OP004,Material Loading,Low,Rock,107.7,4.8,84.1,Sunny,35.4,0.0,6.2,Dry,Intermediate,5.2,80,35.6,11.4,9656.0,1.5,72.1,94.5,51.0,53.9,1,2024-07-13 00:00:00
59,EXC002,OP008,Grading,Low,Clay,200.4,0.7,67.0,Sunny,35.5,0.0,2.5,Dry,Intermediate,2.6,161,48.7,13.0,9913.0,1.2,86.9,68.1,109.8,109.3,1,2024-07-15 00:00:00
60,EXC004,OP010,Compaction,High,Rock,75.8,4.6,16.3,Cloudy,8.2,0.0,2.6,Wet,Intermediate,3.0,296,50.6,12.4,4902.0,1.0,94.6,69.5,122.8,122.8,1,2024-12-22 00:00:00
61,EXC002,OP006,Material Loading,Low,Gravel,93.6,4.5,58.8,Sunny,25.4,0.0,12.4,Wet,Intermediate,10.8,180,27.0,0.9,784.0,2.0,71.9,73.6,8.9,21.7,1,2024-10-02 00:00:00
62,EXC005,OP005,Trenching,Low,Gravel,178.9,0.9,5.1,Sunny,12.9,0.0,13.4,Wet,Intermediate,9.9,252,86.0,3.0,10705.0,1.2,71.1,80.7,108.4,92.7,1,2024-03-12 00:00:00
63,EXC004,OP002,Earth Excavation,Low,Mixed,123.0,1.5,17.8,Sunny,36.8,0.0,4.8,Wet,Beginner,5.7,79,63.5,1.3,4417.0,1.0,77.5,71.8,95.4,116.6,1,2024-06-16 00:00:00
64,EXC005,OP008,Grading,Medium,Soil,210.4,3.4,99.7,Sunny,6.6,0.0,6.0,Frozen,Expert,5.2,240,40.5,14.3,7007.0,1.5,86.3,70.6,99.4,96.8,1,2024-08-01 00:00:00
65,EXC002,OP006,Grading,Low,Clay,220.6,3.7,39.1,Sunny,20.1,0.0,6.5,Frozen,Beginner,9.7,117,62.1,13.9,11207.0,1.5,64.8,79.9,113.7,111.3,1,2024-12-20 00:00:00
66,EXC005,OP010,Material Loading,Low,Rock,189.1,2.6,25.4,Rainy,25.8,37.8,3.9,Dry,Beginner,12.5,196,32.0,13.9,7249.0,0.8,80.1,66.7,151.2,156.2,0,2024-01-02 00:00:00
67,EXC002,OP010,Demolition,High,Mixed,193.6,5.2,52.2,Rainy,22.2,0.3,11.8,Dry,Beginner,5.3,169,106.8,13.2,4602.0,2.0,62.2,70.3,302.1,300.0,1,2024-10-16 00:00:00
68,EXC001,OP008,Demolition,High,Clay,112.4,1.1,82.0,Windy,22.8,0.0,38.2,Muddy,Expert,14.7,38,116.4,9.3,5215.0,2.0,66.6,78.8,126.0,122.8,1,2024-04-20 00:00:00
69,EXC002,OP009,Earth Excavation,Low,Mixed,181.8,1.4,68.5,Rainy,18.9,30.9,0.6,Muddy,Intermediate,7.2,41,56.4,8.1,2729.0,1.2,58.5,76.4,182.8,180.6,1,2024-03-30 00:00:00
70,EXC001,OP001,Earth Excavation,Medium,Gravel,124.4,2.9,8.4,Windy,24.8,0.0,59.7,Frozen,Expert,14.4,116,69.5,1.1,8528.0,1.5,63.6,94.8,54.2,51.4,1,2024-10-31 00:00:00
71,EXC002,OP010,Compaction,Medium,Soil,117.4,2.9,11.0,Windy,40.8,0.0,25.5,Frozen,Intermediate,3.2,28,32.9,4.6,11580.0,0.8,89.0,88.4,118.8,115.6,1,2024-12-02 00:00:00
72,EXC003,OP004,Compaction,Low,Gravel,243.8,4.4,50.9,Cloudy,21.9,0.0,5.8,Muddy,Expert,5.7,217,39.6,6.2,1259.0,2.0,53.5,90.7,51.4,55.7,1,2024-02-27 00:00:00
73,EXC004,OP009,Trenching,High,Sand,236.0,5.9,27.5,Sunny,6.8,0.0,2.3,Wet,Intermediate,1.4,273,84.1,3.3,6909.0,1.0,74.2,85.7,282.2,264.4,1,2024-02-16 00:00:00
74,EXC004,OP009,Material Loading,Low,Soil,238.1,2.6,78.2,Cloudy,25.0,0.0,2.7,Dry,Intermediate,5.2,230,41.0,10.0,8140.0,1.2,69.6,72.5,61.3,68.7,1,2024-02-09 00:00:00
75,EXC004,OP007,Grading,Medium,Soil,248.9,3.2,50.4,Rainy,20.6,3.3,8.9,Frozen,Intermediate,3.8,294,45.3,9.7,800.0,1.2,71.1,94.6,145.1,141.0,1,2024-11-25 00:00:00
76,EXC002,OP004,Material Loading,Medium,Gravel,106.5,4.1,68.8,Sunny,40.5,0.0,5.6,Frozen,Expert,6.7,159,20.9,12.3,6168.0,1.5,83.1,80.2,51.2,42.2,1,2024-08-16 00:00:00
77,EXC002,OP002,Trenching,High,Sand,240.3,1.3,23.8,Cloudy,15.8,0.0,7.9,Muddy,Beginner,13.3,52,82.6,11.5,8556.0,2.0,66.1,80.8,141.4,146.3,1,2024-10-29 00:00:00
78,EXC004,OP001,Compaction,Low,Soil,194.6,5.0,47.6,Cloudy,35.4,0.0,3.6,Wet,Beginner,5.7,272,61.0,3.1,5716.0,1.5,67.6,73.0,80.7,80.2,1,2024-06-09 00:00:00
79,EXC003,OP005,Demolition,Medium,Mixed,234.6,3.2,66.1,Sunny,37.1,0.0,15.0,Muddy,Expert,9.4,237,108.6,13.4,10922.0,1.2,70.7,67.7,263.7,258.8,1,2024-10-05 00:00:00
80,EXC002,OP003,Grading,Medium,Mixed,204.5,5.2,99.5,Windy,37.3,0.0,54.5,Dry,Expert,5.1,129,43.6,6.3,3363.0,1.0,77.3,96.0,152.1,148.9,1,2024-03-12 00:00:00
81,EXC005,OP005,Grading,High,Sand,179.9,1.6,21.7,Cloudy,35.0,0.0,4.0,Dry,Expert,13.7,244,40.7,2.5,8197.0,2.0,60.6,74.1,39.3,33.5,1,2024-10-10 00:00:00
82,EXC002,OP005,Compaction,Medium,Sand,76.9,0.5,59.3,Rainy,41.8,1.9,3.1,Wet,Expert,8.0,46,52.5,12.2,1251.0,2.0,67.8,89.7,20.7,24.3,1,2024-06-23 00:00:00
83,EXC004,OP003,Grading,Medium,Sand,120.6,2.7,92.7,Rainy,14.1,36.5,11.3,Dry,Expert,1.9,55,51.6,7.3,2567.0,0.8,70.9,74.6,135.1,138.2,1,2024-02-13 00:00:00
84,EXC005,OP006,Trenching,Low,Soil,79.4,5.2,42.9,Sunny,6.3,0.0,2.4,Frozen,Intermediate,9.8,74,92.7,11.9,2689.0,1.2,91.3,93.1,99.0,90.4,1,2024-04-21 00:00:00
85,EXC005,OP004,Grading,High,Gravel,236.5,4.5,46.9,Sunny,37.4,0.0,7.9,Dry,Expert,11.3,86,50.4,12.4,9042.0,1.5,55.3,72.9,101.5,92.1,1,2024-12-16 00:00:00
86,EXC005,OP001,Demolition,High,Clay,145.1,1.5,80.5,Windy,40.5,0.0,46.1,Muddy,Beginner,13.8,21,104.4,14.8,4354.0,1.5,78.7,80.6,300.0,300.0,1,2024-04-13 00:00:00
87,EXC004,OP001,Grading,Medium,Gravel,96.3,4.7,37.0,Windy,27.4,0.0,42.9,Wet,Expert,12.5,213,44.9,0.9,2798.0,2.0,75.4,81.4,28.6,32.9,1,2024-05-31 00:00:00
88,EXC004,OP002,Demolition,High,Soil,220.7,4.6,89.1,Cloudy,13.0,0.0,8.0,Muddy,Intermediate,11.8,132,111.1,4.1,2923.0,1.0,51.2,96.6,301.9,300.0,1,2024-06-22 00:00:00
89,EXC001,OP001,Earth Excavation,Medium,Clay,208.6,2.4,60.0,Sunny,10.2,0.0,14.6,Dry,Expert,13.6,50,53.8,13.9,4120.0,2.0,59.5,68.0,81.7,66.3,1,2024-07-11 00:00:00
90,EXC001,OP010,Compaction,High,Gravel,224.1,4.0,54.6,Sunny,31.4,0.0,6.7,Frozen,Beginner,5.5,126,56.8,7.3,2203.0,1.5,85.8,73.6,148.0,158.5,1,2024-09-07 00:00:00
91,EXC004,OP001,Demolition,Low,Mixed,77.7,4.3,91.4,Windy,15.9,0.0,38.4,Dry,Beginner,4.7,183,100.6,8.5,7538.0,1.2,78.1,69.5,192.4,197.4,1,2024-01-19 00:00:00
92,EXC003,OP005,Material Loading,Medium,Soil,193.4,1.8,83.8,Windy,25.2,0.0,48.0,Dry,Beginner,7.4,287,26.0,7.7,7513.0,1.2,91.8,81.2,101.5,95.0,1,2024-07-07 00:00:00
93,EXC003,OP007,Grading,High,Rock,241.7,3.0,22.2,Cloudy,13.0,0.0,1.4,Muddy,Intermediate,0.5,220,48.8,6.8,9277.0,1.2,51.4,83.8,215.7,219.2,1,2024-05-24 00:00:00
94,EXC005,OP008,Grading,Low,Rock,229.3,3.3,76.8,Cloudy,36.4,0.0,15.0,Frozen,Beginner,3.7,225,57.5,4.7,3155.0,1.0,61.8,84.2,218.3,220.4,1,2024-11-09 00:00:00
95,EXC003,OP004,Trenching,Low,Rock,96.7,2.9,98.6,Rainy,41.4,45.3,12.0,Muddy,Expert,4.4,168,77.9,5.2,6658.0,0.8,72.7,86.0,249.2,256.4,1,2024-06-05 00:00:00
96,EXC001,OP003,Trenching,Medium,Mixed,197.1,3.5,7.0,Windy,16.7,0.0,18.9,Wet,Beginner,10.0,241,88.3,4.5,966.0,1.0,52.5,84.2,202.1,213.3,1,2024-06-11 00:00:00
97,EXC004,OP003,Material Loading,Low,Rock,32.4,1.5,90.9,Windy,25.3,0.0,17.5,Muddy,Expert,3.4,179,40.8,10.1,8753.0,0.8,92.9,81.3,64.8,53.4,0,2024-02-08 00:00:00
